0.000000000000000000e+00,-8.333333015441894531e+00,6.000002622604370117e-01,2.660891786217689514e-02,3.028816729784011841e-02,-9.529251456260681152e-01,3.005133271217346191e-01
-6.250000000000000000e+00,-1.388888835906982422e+01,6.000002622604370117e-01,9.785045869648456573e-03,2.083572559058666229e-02,-9.985160231590270996e-01,4.935441166162490845e-02
7.812500000000000000e+00,-1.574074077606201172e+01,6.000001430511474609e-01,4.084521438926458359e-03,-8.577979169785976410e-03,-2.473643235862255096e-02,9.996488690376281738e-01
4.687500000000000000e+00,6.481481552124023438e+00,6.000002622604370117e-01,-2.221255190670490265e-02,2.970962226390838623e-02,5.108947157859802246e-01,8.588426113128662109e-01
7.812500000000000000e-01,-1.327160453796386719e+01,6.000001430511474609e-01,1.374974846839904785e-03,-2.053072303533554077e-02,9.726713895797729492e-01,2.312723696231842041e-01
7.031250000000000000e+00,-5.864197254180908203e+00,6.000001430511474609e-01,-1.192526239901781082e-02,2.690165676176548004e-02,3.252058923244476318e-01,9.451853632926940918e-01
-5.468750000000000000e+00,1.080246925354003906e+01,6.000001430511474609e-01,-2.032922208309173584e-02,1.701115816831588745e-02,9.894479513168334961e-01,1.424434483051300049e-01
2.343750000000000000e+00,1.543209791183471680e+00,6.000001430511474609e-01,-1.968647912144660950e-02,-3.306875936686992645e-03,7.526955008506774902e-01,6.580660343170166016e-01
-7.031250000000000000e+00,-1.543209791183471680e+00,6.000002622604370117e-01,3.603803738951683044e-02,1.814719475805759430e-02,-9.983884096145629883e-01,3.990728408098220825e-02
1.171875000000000000e+01,4.012345790863037109e+00,6.000002622604370117e-01,8.478978648781776428e-03,1.795778051018714905e-02,7.037011981010437012e-01,7.102184891700744629e-01
-5.859375000000000000e+00,5.864197254180908203e+00,6.000001430511474609e-01,-5.209140479564666748e-03,3.582993522286415100e-03,9.363220930099487305e-01,3.510854840278625488e-01
3.515625000000000000e+00,-3.395061731338500977e+00,6.000001430511474609e-01,-1.382760703563690186e-02,1.295641623437404633e-02,9.047449827194213867e-01,4.255320131778717041e-01
-4.296875000000000000e+00,1.409465026855468750e+01,6.000001430511474609e-01,-2.444174326956272125e-02,-6.880891509354114532e-03,9.990319609642028809e-01,3.592107817530632019e-02
-1.171875000000000000e+00,-7.201645970344543457e-01,6.000002622604370117e-01,3.391957655549049377e-02,2.597925066947937012e-02,-8.977309465408325195e-01,4.384673237800598145e-01
-8.203125000000000000e+00,6.687242507934570312e+00,6.000002622604370117e-01,-2.145780995488166809e-02,4.594707861542701721e-04,8.326615691184997559e-01,5.533660054206848145e-01
1.054687500000000000e+01,-7.510287761688232422e+00,6.000002622604370117e-01,-2.162500098347663879e-02,1.465950626879930496e-02,9.616973400115966797e-01,2.728656530380249023e-01
5.859375000000000000e+00,-1.028806567192077637e-01,6.000002622604370117e-01,-1.573787070810794830e-02,1.769122853875160217e-02,-3.261337876319885254e-01,9.450271129608154297e-01
-6.640625000000000000e+00,1.656378555297851562e+01,6.000002622604370117e-01,2.102311700582504272e-02,-8.082531392574310303e-03,-9.679026603698730469e-01,2.503140270709991455e-01
1.953125000000000000e-01,-1.491769504547119141e+01,6.000001430511474609e-01,-1.896441355347633362e-02,5.032503977417945862e-03,-2.473361194133758545e-01,9.687311053276062012e-01
6.445312500000000000e+00,7.304526805877685547e+00,6.000001430511474609e-01,-7.365917786955833435e-03,-1.575185917317867279e-02,-4.186585545539855957e-01,9.079772233963012695e-01
1.757812500000000000e+00,-5.041152000427246094e+00,6.000001430511474609e-01,-1.529708039015531540e-03,2.005909942090511322e-02,-1.429706960916519165e-01,9.895225167274475098e-01
-7.617187500000000000e+00,-3.189300298690795898e+00,6.000001430511474609e-01,3.305322490632534027e-03,2.040851861238479614e-02,-9.790501594543457031e-01,2.025666534900665283e-01
1.113281250000000000e+01,2.366255044937133789e+00,6.000001430511474609e-01,1.363508962094783783e-02,1.506318338215351105e-03,-6.715012788772583008e-01,7.408763766288757324e-01
-5.273437500000000000e+00,-2.366255044937133789e+00,6.000001430511474609e-01,-1.326134707778692245e-02,-6.752401590347290039e-03,9.736639857292175293e-01,2.275017201900482178e-01
-3.710937500000000000e+00,1.244855976104736328e+01,6.000001430511474609e-01,-1.462143100798130035e-02,-9.961249306797981262e-03,9.413022398948669434e-01,3.371011316776275635e-01
-5.859375000000000000e-01,-7.304526805877685547e+00,6.000002622604370117e-01,-1.684521883726119995e-02,-3.415972460061311722e-03,-3.460660874843597412e-01,9.380526542663574219e-01
5.859375000000000000e-01,-1.748971104621887207e+00,6.000001430511474609e-01,-4.241611808538436890e-03,3.515166789293289185e-02,-3.644685745239257812e-01,9.305422902107238770e-01
2.148437500000000000e+00,1.306584358215332031e+01,6.000001430511474609e-01,2.674980647861957550e-02,2.327610738575458527e-02,-8.451020717620849609e-01,5.334277749061584473e-01
5.273437500000000000e+00,-6.687242507934570312e+00,6.000002622604370117e-01,-8.669139817357063293e-03,2.287813089787960052e-02,-4.794288575649261475e-01,8.772395849227905273e-01
-1.757812500000000000e+00,2.572016477584838867e+00,6.000001430511474609e-01,1.668513752520084381e-02,2.535387175157666206e-03,9.844275116920471191e-01,1.749791353940963745e-01
-6.445312500000000000e+00,2.846364736557006836e+00,6.000001430511474609e-01,3.864035755395889282e-02,2.111322805285453796e-02,-9.815300107002258301e-01,1.861719638109207153e-01
-1.953125000000000000e-01,1.025377178192138672e+01,6.000002622604370117e-01,2.162475511431694031e-02,2.884156070649623871e-03,6.504889130592346191e-01,7.592023611068725586e-01
-6.152343750000000000e+00,-4.561042308807373047e+00,6.000002622604370117e-01,-5.171826109290122986e-03,-1.157159730792045593e-02,-6.733755469322204590e-01,7.391919493675231934e-01
